State ,Clinic Name,District,Clinic Address,Lat/Long,Designation (SPC/DPC),"Clinic Status (Active/
Inactive)"
Andhra Pradesh,SMC - Vijayawada - Wednesday,NTR ,"Room No. 8B, OP Building, Government General Hospital, (SMC), GM8C+H4R, NH16 Service Road, Beside NTR Health University, Ring Road, Gunadala, NTR District Vijayawada  A.P PIN - 520008. ",,SPC,Active
Andhra Pradesh,KGH - Visakhapatnam - Friday,Visakhapatnam,"OP  No. 10, King George Hospital, Maharani Peta, Near Jagadamba, Visakhapatnam, A.P PIN - 530002.",,DPC,Active
Andhra Pradesh,SVRRGGH - Tirupati - Thursday,Tirupati,"Ortho Dept, Room No. 3, SVRRG Tirupati, CURE International India Trust, Alipiri Road, Tirupati District, Andhra Pradesh PIN - 517501. ",,DPC,Active
Andhra Pradesh,RCDH - Visakhapatnam - Thursday,Visakhapatnam,"OP Block, Rani Chandramani Devi Hospital, Near Peda Waltair, Bio Daiversity Park, Mantal  Hospital Back side, Peda Wltair, Visakhapatnam, AP - 530017.",,DPC,Active
Andhra Pradesh,SMC - Vijayawada -  Tuesday,NTR ,"Room No. 8B, OP Building, Government General Hospital, (SMC), GM8C+H4R, NH16 Service Road, Beside NTR Health University, Ring Road, Gunadala, NTR District Vijayawada A.P PIN - 520008.",,SPC,Active
Andhra Pradesh,GGH - Kakinada - Thursday,East Godavari,"Government General Hospital, OP Block,  Room No - 09, Ortho Department, Zilla Parishad Road, Near Old Bustand, Kakinada, AP - 533001",,DPC,Active
Andhra Pradesh,GGH - Kakinada - Friday,East Godavari,"Government General Hospital, OP Block,  Room No - 09, Ortho Department, Zilla Parishad Road, Near Old Bustand, Kakinada, AP - 533001",,DPC,Active
Andhra Pradesh,RIMS - Ongole - Friday,Prakasam,"Rajiv Gandhi Institute of Medical Sciences, Ongole, Bhaghya Nagar, 5th Line, Ongole, Prakasam District, A. P - 523001.",,DPC,Active
Andhra Pradesh,ACSR - Nellore - Thursday,Nellore,-,,-,Inactive
Andhra Pradesh,AH - Rampachodavaram - Tuesday,Alluri Sitarama Raju ,"District Hospital, (GGH - Eluru), R.R. Peta Main Road, Eluru District, Andhra Pradesh  PIN - 534006.",,-,Inactive
Andhra Pradesh,GGH - Anatapur - Wednesday,Anantapur,"OP No.9, Opp DM&HO Office, Government General Hospital, Aravind Nagar, Anantapur, A.P - 515101.",,DPC,Active
Andhra Pradesh,GGH - Kurnool - Friday ,Kurnool,"OP No. 06, Ortho, Government General Hospital, Kurnool, Budavarapupeta, Kurnool, A.P - 518002.",,DPC,Active
Andhra Pradesh,GGH - Guntur - Wednesday,Guntur,"Government General Hospita, Railway Station Opp, Rail pet, Guntur District, A.P - 522004.",,DPC,Active
Andhra Pradesh,GGH - Guntur - Thursday,Guntur,"Government General Hospita, Railway Station Opp, Rail pet, Guntur District, A.P - 522004.",,DPC,Active
Andhra Pradesh,RIMS - Kadapa - Thursday,Kadapa,"OP Block, Rajiv Gandhi Institute of Medical Sciences, Puttampalli Area, Kadapa, Kapada District, AP -  516002.",,DPC,Active
Andhra Pradesh,RIMS - Srikakulam - Wednesday,Srikakulam,-,,-,Inactive
Andhra Pradesh,Government General Hospital - Vizianagaram - Thursday,Vizianagaram,"OP No.07, Ortho Department, MR Government Hospital, Vizianagaram, Vizianagaram District, A.P - 535002.",,DPC,Active
Andhra Pradesh,District Hospital - Anakapalli - Tuesday,Anakapalli,-,,-,-
Andhra Pradesh,District Hospital - Narsipatnam - Monday,Narsipatnam,-,,-,-
Andhra Pradesh,Government General Hospital - Eluru - Friday,Eluru,"District Hospital, (GGH - Eluru), R.R. Peta Main Road, Eluru District, Andhra Pradesh  PIN - 534006.",,SPC,Active
Andhra Pradesh,Government General Hospital - Chittoor - Wednesday,Chittoor,"Government General Hospital, Church Street, Thendabanda Dargah, Chittoor District , A.P - 517001.",,DPC,Active
Andhra Pradesh,Government General Hospital - Machilipatnam - Monday,Krishna,"OP Block - 06,Government General Hospital,  Noble Road, Machilipatnam, Krishna District, AP - 521001.",,DPC,Active
Andhra Pradesh,Area Hospital - Bapatla - Monday,Bapatla,"Bapatla Area Hospital, Railwaystation opp, Sathyanarayanapuram, Bapatla District, AP - 522101",,DPC,Active
Arunachal Pradesh,"Tomo Riba Institute of Health and Medical Sciences, Naharlagun, ",Papum Pare, TRIHMS Naharlagun Arunachal Pradesh 791110,,SPC,Active
Assam,"Guwahati Medical College & Hospital, Guwahati",Kamrup ,"Guwahati Medical College and Hospital, Guwahati, Assam, India ",,SPC & DPC,Active 
Assam,"Assam Medical College & Hospital, Dibrugarh",Dibrugarh ,"Assam Medical College and Hospital, Dibrugarh, Assam, India ",,DPC,Active 
Assam,"Silchar Medical College & Hospital, Silchar",Cachar,"Silchar Medical College and Hospital, Silchar",,DPC,Active 
Assam,"Tezpur Medical College & Hospital, Tezpur",Sontipur ,"Tezpur Medical College and Hospital, Tezpur, Assam, India ",,DPC,Active 
Assam,"Jorhat Medical College & Hospital, Jorhat",Jorhat ,"Jorhat Medical College and Hospital, Jorhat, Assam, India ",,DPC,Active 
Bihar,"PMCH,Patna",Patna ,child ward orthopaedic department patna medical College and hospital ,,SPC,Active 
Bihar,"NMCH, Patna",Patna ,orthopaedic OPD Ground floor Nmch patna ,,DPC,Active 
Bihar,"JLNMCH, Bhagalpur",Bhagalpur ,Orthopaedic OPD Ground floor Jlnmch bhagalpur ,,DPC,Active 
Bihar,"DMCH, Darbhanga",Darbhanga ,cure clubfoot dmch behind skin wardnear Nasha Mukti kendra ,,DPC,Active 
Bihar,"ANMCH, Gaya",Gaya,Orthopaedic OPD near main emergency annmch gaya,,DPC,Active 
Bihar,"SADAR, Hajipur",Hajipur ,child ward orthopaedic OPD haipur sadar hospital ,,SPC,Active 
Bihar,"IGIMS, Patna",Patna,Main emergency child ot IGIMS patna,,DPC,Active 
Chandigarh,"Govt Medical College & Hospital, Chandigarh, Sec -32",Chandigarh,"GMCH-32, CHANDIGARH",,SPC,Active 
Chandigarh,"CH, Post Graduate Institute of Medical Education and Reasearch, Sec 12",Chandigarh,"PGIMS-SECTOR 12,Chandigarh",,SPC,Active 
Chhattisgarh,"Medical College ,Raipur",Raipur,"Jail Road,Moudhapara,Raipur,Chhattisgarh-492001",,DPC,Active
