Country Name,Code,Income Group,WB Region,WHO Region ,Expected number of clubfoot cases - regional incidence ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Afghanistan,AFG,Low income,South Asia,Eastern Mediterranean,1.18,41128771,35.842,1474137.41,1827.930389,1739.482144
Albania,ALB,Upper middle income,Europe & Central Asia,Europe,1.11,2777689,10.24,28443.53536,35.26998385,31.57232425
Algeria,DZA,Lower middle income,Middle East & North Africa,Africa,1.31,44903225,21.524,966497.0149,1198.456298,1266.11109
American Samoa,ASM,Upper middle income,East Asia & Pacific,Western Pacific,0.86,44273,12.7,562.2671,0.697211204,0.483549706
Andorra,AND,High income,Europe & Central Asia,Europe,1.11,79824,7.2,574.7328,0.712668672,0.637953408
Angola,AGO,Lower middle income,Sub-Saharan Africa,Africa,1.31,35588987,38.809,1381172.996,1712.654516,1809.336625
Antigua and Barbuda,ATG,High income,Latin America & Caribbean,Americas,1.14,93763,12.115,1135.938745,1.408564044,1.294970169
Argentina,ARG,Upper middle income,Latin America & Caribbean,Americas,1.14,46234830,13.902,642756.6067,797.0181923,732.7425316
Armenia,ARM,Upper middle income,Europe & Central Asia,Europe,1.11,2780469,12.049,33501.87098,41.54232002,37.18707679
Aruba,ABW,High income,Latin America & Caribbean,Americas,1.14,106445,7.193,765.658885,0.949417017,0.872851129
Australia,AUS,High income,East Asia & Pacific,Western Pacific,0.86,26005540,12.1,314667.034,390.1871222,270.6136492
Austria,AUT,High income,Europe & Central Asia,Europe,1.11,9041851,9.6,86801.7696,107.6341943,96.34996426
Azerbaijan,AZE,Upper middle income,Europe & Central Asia,Europe,1.11,10141756,11.1,112573.4916,139.5911296,124.9565757
"Bahamas, The",BHS,High income,Latin America & Caribbean,Americas,1.14,409984,11.445,4692.26688,5.818410931,5.349184243
Bahrain,BHR,High income,Middle East & North Africa,Eastern Mediterranean,1.18,1472233,11.926,17557.85076,21.77173494,20.71826389
Bangladesh,BGD,Lower middle income,South Asia,South-East Asia,1.8,171186372,17.821,3050712.335,3782.883296,5491.282204
Barbados,BRB,High income,Latin America & Caribbean,Americas,1.14,281635,10.832,3050.67032,3.782831197,3.477764165
Belarus,BLR,Upper middle income,Europe & Central Asia,Europe,1.11,9228071,9.283,85664.18309,106.223587,95.08724323
Belgium,BEL,High income,Europe & Central Asia,Europe,1.11,11685814,10.2,119195.3028,147.8021755,132.3067861
Belize,BLZ,Upper middle income,Latin America & Caribbean,Americas,1.14,405272,17.976,7285.169472,9.033610145,8.305093198
Benin,BEN,Lower middle income,Sub-Saharan Africa,Africa,1.31,13352864,36.608,488821.6453,606.1388402,640.3563554
Bermuda,BMU,High income,North America,Americas,1.14,63532,7.7,489.1964,0.606603536,0.557683896
Bhutan,BTN,Lower middle income,South Asia,South-East Asia,1.8,782455,12.482,9766.60331,12.1105881,17.57988596
Bolivia,BOL,Lower middle income,Latin America & Caribbean,Americas,1.14,12224110,21.836,266925.666,330.9878258,304.2952592
Bosnia and Herzegovina,BIH,Upper middle income,Europe & Central Asia,Europe,1.11,3233526,8.42,27226.28892,33.76059826,30.2211807
Botswana,BWA,Upper middle income,Sub-Saharan Africa,Africa,1.31,2630296,23.576,62011.8585,76.89470454,81.23553463
Brazil,BRA,Upper middle income,Latin America & Caribbean,Americas,1.14,215313498,12.883,2773883.795,3439.615905,3162.227526
British Virgin Islands,VGB,High income,Latin America & Caribbean,Americas,1.14,31305,7.634,238.98237,0.296338139,0.272439902
Brunei Darussalam,BRN,High income,East Asia & Pacific,Western Pacific,0.86,449002,13.8,6196.2276,7.683322224,5.328755736
Bulgaria,BGR,Upper middle income,Europe & Central Asia,Europe,1.11,6465097,8.5,54953.3245,68.14212238,60.9981902
Burkina Faso,BFA,Low income,Sub-Saharan Africa,Africa,1.31,22673762,35.541,805848.1752,999.2517373,1055.66111
Burundi,BDI,Low income,Sub-Saharan Africa,Africa,1.31,12889576,34.842,449098.607,556.8822727,588.3191752
Cabo Verde,CPV,Lower middle income,Sub-Saharan Africa,Africa,1.31,593149,16.951,10054.4687,12.46754119,13.171354
