Country Name,Country Code,population_total_2010,crude_birth_rate_2010,population_total_2012,crude_birth_rate_2012,population_total_2014,crude_birth_rate_2014,population_total_2016,crude_birth_rate_2016,population_total_2018,crude_birth_rate_2018,population_total_2020,crude_birth_rate_2020,population_total_2021,crude_birth_rate_2021,population_total_2022
Afghanistan,AFG,28189672,40.602,30466479,40.009,32716210,39.105,34636207,37.936,36686784,36.927,38972230,36.051,40099462,35.842,41128771
Albania,ALB,2913021,11.92,2900401,12.227,2889104,12.15,2876101,11.289,2866376,10.517,2837849,10.285,2811666,10.24,2777689
Algeria,DZA,35856344,24.458,37260563,25.382,38760168,25.404,40339329,25.166,41927007,24.074,43451666,22.431,44177969,21.524,44903225
American Samoa,ASM,54849,18.7,53691,..,52217,17.5,50448,..,48424,..,46189,12.7,45035,..,44273
Andorra,AND,71519,9.8,71013,9.5,71621,..,72540,8.8,75013,7.2,77700,..,79034,..,79824
Angola,AGO,23364185,44.97,25188292,43.86,27128337,42.676,29154746,41.377,31273533,40.236,33428486,39.271,34503774,38.809,35588987
Antigua and Barbuda,ATG,85695,14.715,87674,13.497,89236,12.325,90564,11.659,91626,10.816,92664,12.16,93219,12.115,93763
Argentina,ARG,40788453,17.87,41733271,17.729,42669500,17.504,43590368,16.824,44494502,15.187,45376763,14.125,45808747,13.902,46234830
Armenia,ARM,2946293,13.898,2914421,15.094,2889930,15.842,2865835,14.504,2836557,13.307,2805608,12.455,2790974,12.049,2780469
Aruba,ABW,100341,12.193,102112,12.723,103594,13.533,104874,12.3,105962,9.881,106585,8.102,106537,7.193,106445
Australia,AUS,22031750,13.7,22733465,13.7,23475686,13.2,24190907,12.9,24963258,12.6,25649248,11.5,25685412,12.1,26005540
Austria,AUT,8363404,9.4,8429991,9.4,8546356,9.6,8736668,10,8840521,9.7,8916864,9.4,8955797,9.6,9041851
Azerbaijan,AZE,9054332,18.3,9295784,18.8,9535079,17.9,9757812,16.3,9939771,14,10093121,12.5,10137750,11.1,10141756
"Bahamas, The",BHS,373272,14.858,382061,14.114,389131,13.57,395976,12.188,401906,11.566,406471,11.49,407906,11.445,409984
