2021 Country Name,2021 Expected births,2021 Income Group,2021 WHO region,2021 - regional incidence ,2021 Expected number of clubfoot cases - regional ,2021 Expected number of clubfoot cases - 1.24
Afghanistan,1404987.864,Low income,Eastern Mediterranean,1.18,1657.885679,1742.184951
Burkina Faso,776643.9592,Low income,Africa,1.31,1017.403587,963.0385094
Burundi,435076.7419,Low income,Africa,1.31,569.9505319,539.4951599
Central African Republic,225341.8685,Low income,Africa,1.31,295.1978477,279.4239169
Chad,729853.4941,Low income,Africa,1.31,956.1080773,905.0183327
"Congo, Dem. Rep.",3928710.222,Low income,Africa,1.31,5146.610391,4871.600675
Eritrea,102074.7468,Low income,Africa,1.31,133.7179183,126.572686
Ethiopia,3841518.063,Low income,Africa,1.31,5032.388662,4763.482398
"Gambia, The",86792.53741,Low income,Africa,1.31,113.698224,107.6227464
Guinea,461440.8664,Low income,Africa,1.31,604.487535,572.1866744
Guinea-Bissau,63710.24394,Low income,Africa,1.31,83.46041956,79.00070249
"Korea, Dem. People's Rep.",344890.9375,Low income,Western Pacific,0.86,296.6062063,427.6647625
Liberia,161317.1135,Low income,Africa,1.31,211.3254186,200.0332207
Madagascar,884661.7227,Low income,Africa,1.31,1158.906857,1096.980536
Malawi,643957.8682,Low income,Africa,1.31,843.5848074,798.5077566
Mali,891303.5598,Low income,Africa,1.31,1167.607663,1105.216414
Mozambique,1152784.209,Low income,Africa,1.31,1510.147314,1429.452419
Niger,1109321.935,Low income,Africa,1.31,1453.211734,1375.559199
Rwanda,398453.0859,Low income,Africa,1.31,521.9735425,494.0818265
Sierra Leone,262778.9186,Low income,Africa,1.31,344.2403833,325.845859
Somalia,727744.4631,Low income,Eastern Mediterranean,1.18,858.7384665,902.4031343
South Sudan,309341.2167,Low income,Africa,1.31,405.2369939,383.5831087
Sudan,1521020.074,Low income,Eastern Mediterranean,1.18,1794.803687,1886.064892
Syrian Arab Republic,408596.9437,Low income,Eastern Mediterranean,1.18,482.1443935,506.6602101
Togo,272712.2192,Low income,Africa,1.31,357.2530071,338.1631518
Uganda,1654160.569,Low income,Africa,1.31,2166.950345,2051.159106
"Yemen, Rep.",1008941.006,Low income,Eastern Mediterranean,1.18,1190.550387,1251.086847
Zambia,661580.4224,Low income,Africa,1.31,866.6703533,820.3597238
Algeria,974664.32,Lower middle income,Africa,1.31,1276.810259,1208.583757
Angola,1312770.074,Lower middle income,Africa,1.31,1719.728797,1627.834891
