Country Name,Income Group,WHO Region ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Afghanistan,Low income,Eastern Mediterranean,41128771,35.842,1474137.41,1827.930389,1739.482144
Burkina Faso,Low income,Africa,22673762,35.541,805848.1752,999.2517373,1055.66111
Burundi,Low income,Africa,12889576,34.842,449098.607,556.8822727,588.3191752
Central African Republic,Low income,Africa,5579144,42.68,238117.8659,295.2661537,311.9344044
Chad,Low income,Africa,17723315,43.357,768429.7685,952.8529129,1006.642997
"Congo, Dem. Rep.",Low income,Africa,99010212,42.049,4163280.404,5162.467701,5453.89733
Eritrea,Low income,Africa,3684032,28.624,105451.732,130.7601476,138.1417689
Ethiopia,Low income,Africa,123379924,32.383,3995412.079,4954.310978,5233.989823
"Gambia, The",Low income,Africa,2705992,33.257,89993.17594,111.5915382,117.8910605
Guinea,Low income,Africa,13859341,34.425,477107.8139,591.6136893,625.0112362
Guinea-Bissau,Low income,Africa,2105566,31.087,65455.73024,81.1651055,85.74700662
"Korea, Dem. People's Rep.",Low income,Western Pacific,26069416,13.24,345159.0678,427.9972441,296.8367983
Liberia,Low income,Africa,5302681,31.287,165904.9804,205.7221758,217.3355244
Madagascar,Low income,Africa,29611714,30.949,916452.9366,1136.401641,1200.553347
Malawi,Low income,Africa,20405317,32.859,670498.3113,831.417906,878.3527878
Mali,Low income,Africa,22593590,41.643,940864.8684,1166.672437,1232.532978
Mozambique,Low income,Africa,32969518,36.598,1206618.42,1496.206841,1580.67013
Niger,Low income,Africa,26207977,45.293,1187037.902,1471.926999,1555.019652
Rwanda,Low income,Africa,13776698,29.976,412970.2992,512.0831711,540.991092
Sierra Leone,Low income,Africa,8605718,31.36,269875.3165,334.6453924,353.5366646
Somalia,Low income,Eastern Mediterranean,17597511,43.561,766565.1767,950.5408191,904.5469085
South Sudan,Low income,Africa,10913164,29.107,317649.4645,393.885336,416.1207986
Sudan,Low income,Eastern Mediterranean,46874204,33.596,1574785.758,1952.734339,1858.247194
Syrian Arab Republic,Low income,Eastern Mediterranean,22125249,20.111,444960.8826,551.7514945,525.0538415
Togo,Low income,Africa,8848699,31.856,281884.1553,349.5363526,369.2682435
Uganda,Low income,Africa,47249585,36.795,1738548.48,2155.800115,2277.498509
"Yemen, Rep.",Low income,Eastern Mediterranean,33696614,30.544,1029229.378,1276.244429,1214.490666
Zambia,Low income,Africa,20017675,34.511,690829.9819,856.6291776,904.9872763
Algeria,Lower middle income,Africa,44903225,21.524,966497.0149,1198.456298,1266.11109
Angola,Lower middle income,Africa,35588987,38.809,1381172.996,1712.654516,1809.336625
Bangladesh,Lower middle income,South-East Asia,171186372,17.821,3050712.335,3782.883296,5491.282204
Benin,Lower middle income,Africa,13352864,36.608,488821.6453,606.1388402,640.3563554
Bhutan,Lower middle income,South-East Asia,782455,12.482,9766.60331,12.1105881,17.57988596
Bolivia,Lower middle income,Americas,12224110,21.836,266925.666,330.9878258,304.2952592
Cabo Verde,Lower middle income,Africa,593149,16.951,10054.4687,12.46754119,13.171354
Cambodia,Lower middle income,Western Pacific,16767842,19.334,324189.4572,401.994927,278.8029332
Cameroon,Lower middle income,Africa,27914536,34.938,975278.0588,1209.344793,1277.614257
Comoros,Lower middle income,Africa,836774,29.398,24599.48205,30.50335774,32.22532149
"Congo, Rep.",Lower middle income,Africa,5970424,30.691,183238.283,227.2154709,240.0421507
Cote d'Ivoire,Lower middle income,Africa,28160542,33.934,955599.8322,1184.943792,1251.83578
Djibouti,Lower middle income,Eastern Mediterranean,1120849,22.205,24888.45205,30.86168054,29.36837341
"Egypt, Arab Rep.",Lower middle income,Eastern Mediterranean,110990103,22.558,2503714.743,3104.606282,2954.383397
El Salvador,Lower middle income,Americas,6336392,16.025,101540.6818,125.9104454,115.7563773
Eswatini,Lower middle income,Africa,1201670,24.134,29001.10378,35.96136869,37.99144595
Ghana,Lower middle income,Africa,33475870,27.548,922193.2668,1143.519651,1208.073179
Haiti,Lower middle income,Americas,11584996,23.498,272224.236,337.5580526,310.335629
Honduras,Lower middle income,Americas,10432860,21.071,219830.7931,272.5901834,250.6071041
India,Lower middle income,South-East Asia,1417173173,16.419,23268566.33,28853.02225,41883.41939
Indonesia,Lower middle income,South-East Asia,275501339,16.425,4525109.493,5611.135771,8145.197088
