Country Name,Income Group,Region,Expected number of clubfoot cases
Afghanistan,Low income,South Asia,1497.447937
Bangladesh,Lower middle income,South Asia,3638.281784
Benin,Low income,Sub-Saharan Africa,515.8399053
Bolivia,Lower middle income,Latin America & Caribbean,306.1942397
Brazil,Upper middle income,Latin America & Caribbean,3616.647231
Burkina Faso,Low income,Sub-Saharan Africa,928.977896
Burundi,Low income,Sub-Saharan Africa,540.5521398
Cambodia,Lower middle income,East Asia & Pacific,452.6439732
Cameroon,Lower middle income,Sub-Saharan Africa,1106.454185
"Congo, Dem. Rep.",Low income,Sub-Saharan Africa,4293.098478
"Congo, Rep.",Lower middle income,Sub-Saharan Africa,213.7019186
Dominican Republic,Upper middle income,Latin America & Caribbean,257.0439158
Ecuador,Upper middle income,Latin America & Caribbean,417.7391802
"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,3219.431856
Ethiopia,Low income,Sub-Saharan Africa,4379.944137
"Gambia, The",Low income,Sub-Saharan Africa,108.9510259
Georgia,Upper middle income,Europe & Central Asia,62.25304448
Ghana,Lower middle income,Sub-Saharan Africa,1085.448068
Guatemala,Upper middle income,Latin America & Caribbean,525.2930008
Guinea,Low income,Sub-Saharan Africa,559.7784821
Haiti,Low income,Latin America & Caribbean,335.8393834
Honduras,Lower middle income,Latin America & Caribbean,256.7803007
India,Lower middle income,South Asia,29950.57266
Indonesia,Lower middle income,East Asia & Pacific,5998.144861
"Iran, Islamic Rep.",Upper middle income,Middle East & North Africa,1905.203521
Iraq,Upper middle income,Middle East & North Africa,1385.646581
Kenya,Lower middle income,Sub-Saharan Africa,1832.033352
Lebanon,Upper middle income,Middle East & North Africa,149.0038425
Liberia,Low income,Sub-Saharan Africa,197.4435112
Madagascar,Low income,Sub-Saharan Africa,1063.486188
Malawi,Low income,Sub-Saharan Africa,767.5768903
Mali,Low income,Sub-Saharan Africa,982.7551498
Mexico,Upper middle income,Latin America & Caribbean,2754.30071
Morocco,Lower middle income,Middle East & North Africa,846.031895
Mozambique,Low income,Sub-Saharan Africa,1372.293733
Myanmar,Lower middle income,East Asia & Pacific,1168.935289
Nepal,Low income,South Asia,692.6435283
Nicaragua,Lower middle income,Latin America & Caribbean,165.4837708
Niger,Low income,Sub-Saharan Africa,1282.344265
Nigeria,Lower middle income,Sub-Saharan Africa,9206.543704
Pakistan,Lower middle income,South Asia,7433.892501
Papua New Guinea,Lower middle income,East Asia & Pacific,288.9185034
Paraguay,Upper middle income,Latin America & Caribbean,177.4357373
Russian Federation,Upper middle income,Europe & Central Asia,2060.256993
Rwanda,Low income,Sub-Saharan Africa,483.5036006
Senegal,Lower middle income,Sub-Saharan Africa,678.7016871
Sierra Leone,Low income,Sub-Saharan Africa,316.8956952
Solomon Islands,Lower middle income,East Asia & Pacific,26.26079522
Somalia,Low income,Sub-Saharan Africa,777.0279629
South Africa,Upper middle income,Sub-Saharan Africa,1469.474459
South Sudan,Low income,Sub-Saharan Africa,476.4910294
Sri Lanka,Upper middle income,South Asia,425.3916348
Syrian Arab Republic,Low income,Middle East & North Africa,496.5273879
Tanzania,Low income,Sub-Saharan Africa,2562.935381
Togo,Low income,Sub-Saharan Africa,323.9271463
Uganda,Low income,Sub-Saharan Africa,2020.266163
Zambia,Lower middle income,Sub-Saharan Africa,778.7164559
Philippines,Lower middle income,East Asia & Pacific,2717.175283
Zimbabwe,Lower middle income,Sub-Saharan Africa,549.234832
Eritrea,Low income,Sub-Saharan Africa,
