YEAR_RECORDED,Country Name,Income Group,Region,Total new children treated,0-1 years,1-2 years,2-3 years,3-4 years,4-5 years,5-10 years,10-15 years,15+ years,number children started 1yr FAB,number of children completed 2 years FAB,NUMBER_OF_CHILDREN_COMPLETED_4_YEARS_FAB,NUMBER_OF_CHILDREN_COMPLETED_4_YEARS_FAB,Expected number of clubfoot cases
2023,Afghanistan,Low income,Eastern Mediterranean,1041,646,194,44,37,14,63,14,29,676.0,335.0,130,0,1827.930389
2023,Argentina,Upper middle income,Americas,250,120,80,25,15,8,1,1,0,200.0,0.0,0,0,797.0181923
2023,Armenia,Upper middle income,Europe,43,43,0,0,0,0,0,0,0,39.0,35.0,0,0,41.54232002
2023,Bangladesh,Lower middle income,South-East Asia,2296,2252,34,8,2,0,0,0,0,2232.0,1704.0,0,0,3782.883296
2023,Belize,Upper middle income,Americas,6,6,0,0,0,0,0,0,0,2.0,0.0,0,0,9.033610145
2023,Brazil,Upper middle income,Americas,26,23,0,0,0,0,3,0,0,35.0,43.0,0,0,3439.615905
2023,Bolivia,Lower middle income,Americas,69,29,13,10,5,0,9,3,0,36.0,7.0,0,0,330.9878258
2023,Burkina Faso,Low income,Africa,292,217,38,16,6,3,7,2,0,233.0,0.0,0,0,999.2517373
2023,Burundi,Low income,Africa,506,468,18,12,2,3,2,1,0,463.0,0.0,0,0,556.8822727
2023,Cambodia,Lower middle income,Western Pacific,152,136,5,0,1,0,1,2,1,0.0,0.0, ,0,401.994927
2023,Cameroon,Lower middle income,Africa,341,260,54,9,3,9,5,3,2,314.0,0.0,0,0,1209.344793
2023,"Congo, Rep.",Lower middle income,Africa,128,92,17,5,3,0,5,0,0,0.0,0.0, ,0,227.2154709
2023,"Congo, Dem. Rep.",Low income,Africa,1297,1040,145,55,23,20,19,0,2,576.0,0.0,0,0,5162.467701
2023,Costa Rica,Upper middle income,Americas,50,25,0,8,13,4,0,0,0,27.0,0.0,0,0,76.27485857
2023,Dominican Republic,Upper middle income,Americas,227,155,26,17,6,10,12,1,0,117.0,85.0,58,0,256.6423396
2023,Ecuador,Upper middle income,Americas,153,104,12,7,6,0,19,5,0,125.0,118.0,0,0,375.3762931
2023,El Salvador,Lower middle income,Americas,112,112,0,0,0,0,0,0,0,99.0,0.0,0,0,125.9104454
2023,Ethiopia,Low income,Africa,2689,2516,256,120,52,45,67,8,2,1766.0,0.0,0,0,4954.310978
2023,Gabon,Upper middle income,Africa,10,5,5,0,0,0,0,0,0,2.0,0.0,0,0,80.40410587
2023,Ghana,Lower middle income,Africa,294,232,36,14,5,3,4,0,0,207.0,0.0,0,0,1143.519651
2023,"Gambia, The",Low income,Africa,87,46,1,3,6,0,11,6,8,45.0,9.0,0,0,111.5915382
2023,Guatemala,Upper middle income,Americas,138,89,12,5,9,0,18,4,1,113.0,69.0,0,0,454.5822049
2023,Guinea,Low income,Africa,89,82,5,1,0,0,1,0,0,52.0,10.0,0,0,591.6136893
2023,Guinea-Bissau,Low income,Africa,77,46,6,4,4,0,9,5,2,79.0,0.0,0,0,81.1651055
2023,Guyana,Upper middle income,Americas,23,12,4,4,1,0,2,0,0,14.0,0.0,0,0,20.35524523
2023,Haiti,Lower middle income,Americas,90,62,10,7,1,2,0,13,0,55.0,0.0,0,0,337.5580526
2023,Honduras,Lower middle income,Americas,94,73,7,4,4,0,3,2,1,61.0,0.0,0,0,272.5901834
2023,India,Lower middle income,South-East Asia,12761,8115,2457,916,638,378,188,63,0,9041.0,2842.0,3980,0,28853.02225
2023,Indonesia,Lower middle income,South-East Asia,239,142,48,19,11,0,17,1,1,177.0,23.0,0,0,5611.135771
2023,Iraq,Upper middle income,Eastern Mediterranean,70,52,16,1,1,0,0,0,0,0.0,0.0,0,0,1509.97946
2023,Kenya,Lower middle income,Africa,1494,1322,87,35,24,11,14,1,0,844.0,0.0,0,0,1854.731212
2023,Lao PDR,Lower middle income,South-East Asia,129,122,7,0,0,0,0,0,0,129.0,0.0,0,0,205.1519912
2023,Liberia,Low income,Africa,420,348,37,16,10,0,8,1,0,385.0,89.0,0,0,205.7221758
2023,Madagascar,Low income,Africa,613,450,63,33,18,0,37,12,0,550.0,191.0,0,0,1136.401641
2023,Malawi,Low income,Africa,511,455,36,7,5,3,1,0,0,331.0,0.0,0,0,831.417906
2023,Mali,Low income,Africa,231,187,23,3,4,0,11,3,0,205.0,80.0,0,0,1166.672437
2023,Mauritania,Lower middle income,Africa,14,10,2,1,0,0,1,0,0,4.0,0.0,0,0,194.9421335
2023,Mexico,Upper middle income,Americas,45,13,9,3,1,0,13,1,5,12.0,0.0,0,0,2348.967694
2023,Morocco,Lower middle income,Eastern Mediterranean,420,0,0,0,0,0,0,0,0,0.0,0.0,0,0,814.9281255
2023,Mozambique,Low income,Africa,374,374,9,4,0,0,0,0,0,345.0,0.0,0,0,1496.206841
2023,Myanmar,Lower middle income,South-East Asia,55,0,0,0,0,0,0,0,0,6.0,2.0,0,0,1149.019551
2023,Nepal,Lower middle income,South-East Asia,541,335,48,37,22,0,71,26,2,455.0,117.0,0,0,772.8073417
2023,Nicaragua,Lower middle income,Americas,116,74,6,8,4,0,20,2,2,89.0,105.0,0,0,176.6884367
2023,Niger,Low income,Africa,283,215,34,14,7,8,5,0,0,71.0,0.0,0,0,1471.926999
2023,Nigeria,Lower middle income,Africa,1400,853,192,91,68,0,144,38,14,862.0,88.0,0,0,10058.37677
2023,Pakistan,Lower middle income,Eastern Mediterranean,2180,897,243,168,96,0,97,3,0,1273.0,0.0,0,0,8047.183828
