Country Name,Income Group,Region,Total new children treated,0-1 years,1-2 years,2-3 years,3-4 years,4-5 years,5-10 years,10-15 years,15+ years,number children started 1yr FAB,number of children completed 2 years FAB
Afghanistan,Low income,South Asia,806,502,151,65,21,14,41,16,4,534,64
Argentina,Upper middle income,Latin America & Caribbean,600,0,0,0,0,0,0,0,0,350,0
Bangladesh,Lower middle income,South Asia,2004,1943,61,0,0,0,0,0,0,1839,1638
Benin,Lower middle income,Sub-Saharan Africa,24,17,5,2,0,0,0,0,0,15,99
Bolivia,Lower middle income,Latin America & Caribbean,65,34,0,0,0,0,0,0,0,60,45
Brazil,Upper middle income,Latin America & Caribbean,35,27,3,0,0,1,4,0,0,12,0
Burkina Faso,Low income,Sub-Saharan Africa,217,160,0,0,0,0,0,0,0,168,0
Burundi,Low income,Sub-Saharan Africa,436,405,0,0,0,0,0,0,0,576,0
Cambodia,Lower middle income,East Asia & Pacific,157,152,1,1,0,0,3,0,0,141,0
Cameroon,Lower middle income,Sub-Saharan Africa,373,154,104,57,23,15,12,7,1,276,133
"Congo, Dem. Rep.",Low income,Sub-Saharan Africa,848,1,0,0,0,0,0,0,0,795,0
"Congo, Rep.",Lower middle income,Sub-Saharan Africa,104,89,9,0,4,1,1,0,0,104,50
Dominican Republic,Upper middle income,Latin America & Caribbean,113,97,97,0,0,0,0,0,0,86,0
Ecuador,Upper middle income,Latin America & Caribbean,140,100,20,0,0,0,0,0,0,120,0
"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,1500,120,25,25,15,4,5,3,4,120,240
El Salvador,Lower middle income,Latin America & Caribbean,98,70,26,2,0,0,0,0,0,107,0
Eritrea,Low income,Sub-Saharan Africa,112,99,13,0,0,0,0,0,0,84,0
Ethiopia,Low income,Sub-Saharan Africa,2112,1666,446,0,0,0,0,0,0,1514,0
"Gambia, The",Low income,Sub-Saharan Africa,68,37,23,10,13,5,4,2,3,113,42
Ghana,Lower middle income,Sub-Saharan Africa,93,62,0,0,0,0,0,0,0,74,0
Guatemala,Upper middle income,Latin America & Caribbean,35,20,3,2,2,0,1,0,0,28,149
Guinea,Low income,Sub-Saharan Africa,70,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,Low income,Sub-Saharan Africa,44,26,5,8,0,0,1,4,0,43,43
Haiti,Lower middle income,Latin America & Caribbean,73,62,0,0,0,0,0,0,0,58,0
Honduras,Lower middle income,Latin America & Caribbean,38,24,0,0,0,0,0,0,0,27,0
India,Lower middle income,South Asia,11028,4646,2150,1112,930,960,648,582,2,8500,6400
Indonesia,Lower middle income,East Asia & Pacific,29,3,6,9,5,2,3,0,0,11,3
Iraq,Upper middle income,Middle East & North Africa,170,100,50,20,0,0,0,0,0,0,0
Kenya,Lower middle income,Sub-Saharan Africa,1174,1087,0,0,0,0,0,0,0,872,0
Lebanon,Lower middle income,Middle East & North Africa,0,0,0,0,0,0,0,0,0,30,0
Liberia,Low income,Sub-Saharan Africa,375,220,87,27,16,11,14,0,0,375,340
Madagascar,Low income,Sub-Saharan Africa,153,153,0,0,0,0,0,0,0,107,0
Malawi,Low income,Sub-Saharan Africa,100,83,0,0,0,0,0,0,0,74,0
Mali,Low income,Sub-Saharan Africa,167,161,3,2,1,0,0,0,0,10,5
Mexico,Upper middle income,Latin America & Caribbean,0,0,0,0,0,0,0,0,0,0,0
Morocco,Lower middle income,Middle East & North Africa,350,0,0,0,0,0,0,0,0,0,0
Mozambique,Low income,Sub-Saharan Africa,385,370,0,0,0,0,0,0,0,349,0
Myanmar,Lower middle income,East Asia & Pacific,25,21,2,1,1,0,0,0,0,13,0
Nepal,Lower middle income,South Asia,480,0,0,0,0,0,0,0,0,480,200
Nicaragua,Lower middle income,Latin America & Caribbean,148,0,0,0,0,0,0,0,0,0,537
Niger,Low income,Sub-Saharan Africa,264,208,56,0,0,0,0,0,0,182,0
Nigeria,Lower middle income,Sub-Saharan Africa,450,0,300,90,50,10,0,0,0,380,250
Pakistan,Lower middle income,South Asia,500,327,75,35,25,20,15,3,0,450,450
Papua New Guinea,Lower middle income,East Asia & Pacific,22,26,6,1,0,0,1,0,0,24,8
Paraguay,Upper middle income,Latin America & Caribbean,178,126,15,10,7,3,15,0,0,124,25
Peru,Upper middle income,Latin America & Caribbean,42,0,0,0,0,0,0,0,0,28,0
Philippines,Lower middle income,East Asia & Pacific,467,344,41,20,22,12,23,5,0,140,0
Rwanda,Low income,Sub-Saharan Africa,423,379,0,0,0,0,0,0,0,316,0
Senegal,Lower middle income,Sub-Saharan Africa,104,0,0,0,0,0,0,0,0,0,0
Somalia,Low income,Sub-Saharan Africa,196,0,78,51,24,10,23,8,2,135,25
South Africa,Upper middle income,Sub-Saharan Africa,848,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Lower middle income,South Asia,229,0,0,0,0,0,0,0,0,0,0
Sudan,Low income,Sub-Saharan Africa,279,169,0,0,0,0,0,0,0,128,0
Tajikistan,Lower middle income,Europe & Central Asia,0,0,0,0,0,0,0,0,0,0,0
Tanzania,Lower middle income,Sub-Saharan Africa,1441,1130,120,59,25,31,47,16,13,840,654
Thailand,Upper middle income,East Asia & Pacific,20,10,3,5,1,0,1,0,0,5,4
Togo,Low income,Sub-Saharan Africa,115,108,5,2,0,0,0,0,0,20,87
Uganda,Low income,Sub-Saharan Africa,823,753,38,13,7,7,3,2,0,877,521
Uzbekistan,Lower middle income,Europe & Central Asia,350,94,181,40,15,16,4,0,0,300,690
West Bank and Gaza,Lower middle income,Middle East & North Africa,40,35,4,0,0,1,0,0,0,33,0
"Yemen, Rep.",Low income,Middle East & North Africa,628,0,0,0,0,0,0,0,0,628,0
Zambia,Low income,Sub-Saharan Africa,295,251,0,0,0,0,0,0,0,233,0
Zimbabwe,Lower middle income,Sub-Saharan Africa,315,254,61,0,0,0,0,0,0,229,0
Sierra Leone,Low income,Sub-Saharan Africa,162,0,0,0,0,0,0,0,0,0,0
South Sudan,Low income,Sub-Saharan Africa,39,0,0,0,0,0,0,0,0,0,0
